,Observed,P-value,P-adjust
61,0.5773399097171892,0.9945,0.9957379862700229
62,4.8383158516702425,0.3099,0.8777425373134329
63,4.549729407949148,0.4046,0.8777425373134329
64,1.1828621116595066,0.9518,0.9648812970469022
65,4.581388798898471,0.3169,0.8777425373134329
66,4.581388798898471,0.3169,0.8777425373134329
67,3.6625973847020186,0.5484,0.8777425373134329
68,3.7291660518930216,0.3035,0.8777425373134329
69,3.945780061428781,0.3279,0.8777425373134329
70,5.460960607386295,0.2002,0.8777425373134329
71,2.440928656510863,0.6656,0.8777425373134329
72,1.8419585349525427,0.8459,0.9134751773049645
73,3.7291660518930216,0.3035,0.8777425373134329
74,3.7291660518930216,0.3035,0.8777425373134329
75,3.7291660518930216,0.3035,0.8777425373134329
76,3.077306249356995,0.5496,0.8777425373134329
77,3.6625973847020186,0.5484,0.8777425373134329
78,2.825680122230057,0.7103,0.8854020979020979
79,0.9210332868340578,0.9464,0.9617886178861789
80,4.634686831528568,0.3913,0.8777425373134329
81,4.040005082010596,0.3208,0.8777425373134329
82,2.538774616864282,0.6761,0.8786055923473142
83,1.722348359884766,0.8642,0.923008849557522
84,2.426994419832586,0.707,0.8854020979020979
85,1.8071598000209488,0.8045,0.902319257837492
86,4.061275311727367,0.4526,0.8777425373134329
87,4.587056294509582,0.2148,0.8777425373134329
88,2.131411570506786,0.7791,0.9003598298985933
89,2.409312105574377,0.7328,0.8897836538461539
90,2.426994419832586,0.707,0.8854020979020979
91,2.16018343295726,0.7716,0.9003598298985933
92,2.4236246736123706,0.7168,0.8854020979020979
93,0.9360056633855002,0.9388,0.9571220506845324
94,0.5031660995302866,0.9962,0.996969696969697
95,3.8105794981262817,0.3986,0.8777425373134329
96,2.4093121055743776,0.7328,0.8897836538461539
97,2.0497192374089286,0.8011,0.902319257837492
98,3.2146529467572416,0.5425,0.8777425373134329
99,1.228968274145276,0.9419,0.9597234352256185
100,1.7293546197258898,0.812,0.9035918626827718
101,4.838315851670242,0.3099,0.8777425373134329
102,3.339267411781917,0.5815,0.8777425373134329
103,4.833511270837807,0.2659,0.8777425373134329
104,2.9688475626281075,0.5535,0.8777425373134329
105,2.2444048492142747,0.7813,0.9003598298985933
106,1.502156030833135,0.8964,0.9373767553032566
107,2.842133207634468,0.54,0.8777425373134329
108,2.0976199497920045,0.7854,0.9003598298985933
109,2.9688475626281075,0.5535,0.8777425373134329
110,3.175514804483776,0.5186,0.8777425373134329
111,4.838315851670242,0.3099,0.8777425373134329
112,2.4041173264597004,0.7799,0.9003598298985933
113,2.052166721089085,0.7119,0.8854020979020979
114,3.7291660518930216,0.3035,0.8777425373134329
115,3.99967376404714,0.4075,0.8777425373134329
116,4.609622564517061,0.2907,0.8777425373134329
117,6.150224413873925,0.051,0.8777425373134329
118,2.910513201351923,0.5821,0.8777425373134329
